Path,Server,Location,Branch,SubBranch,ControlProgram,Point,Zone,BacnetAddress,BacnetDevId,BacnetObjectType,PointType,ComponentId,PathMappingsId
#120b3_thermafuser/m135,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120B-3,"clg setpt",4,20606:41,268,BAV,3,11,3
#120b3_thermafuser/m186,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120B-3,"Zone Temp",4,20606:41,445,BAV,3,11,7
#120b3_thermafuser/m190,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120B-3,"Supply Air",4,20606:41,1423,BAV,3,11,6
#120c_thermafuser/m073,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120C,"Air Flow Feedback",4,20606:41,1323,BAV,3,12,2
#120c_thermafuser/m078,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120C,"Room Occupied",4,20606:41,867,BBV,3,12,5
#120c_thermafuser/m134,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120C,"htg setpt",4,20606:41,227,BAV,3,12,4
#120c_thermafuser/m135,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120C,"clg setpt",4,20606:41,226,BAV,3,12,3
#120c_thermafuser/m186,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120C,"Zone Temp",4,20606:41,438,BAV,3,12,7
#120c_thermafuser/m190,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120C,"Supply Air",4,20606:41,1332,BAV,3,12,6
#120d_thermafuser/m073,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120D,"Air Flow Feedback",4,20606:41,1336,BAV,3,13,2
#120d_thermafuser/m078,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120D,"Room Occupied",4,20606:41,874,BBV,3,13,5
#120d_thermafuser/m134,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120D,"htg setpt",4,20606:41,233,BAV,3,13,4
#120d_thermafuser/m135,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120D,"clg setpt",4,20606:41,232,BAV,3,13,3
#120d_thermafuser/m186,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120D,"Zone Temp",4,20606:41,439,BAV,3,13,7
#120d_thermafuser/m190,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120D,"Supply Air",4,20606:41,1345,BAV,3,13,6
#120e_thermafuser/m073,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120E,"Air Flow Feedback",4,20606:41,1349,BAV,3,14,2
#120e_thermafuser/m078,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120E,"Room Occupied",4,20606:41,881,BBV,3,14,5
#120e_thermafuser/m134,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120E,"htg setpt",4,20606:41,239,BAV,3,14,4
#120e_thermafuser/m135,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120E,"clg setpt",4,20606:41,238,BAV,3,14,3
#120e_thermafuser/m186,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120E,"Zone Temp",4,20606:41,440,BAV,3,14,7
#120e_thermafuser/m190,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120E,"Supply Air",4,20606:41,1358,BAV,3,14,6
#120f_thermafuser/m073,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120F,"Air Flow Feedback",4,20606:41,1362,BAV,3,15,2
#120f_thermafuser/m078,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120F,"Room Occupied",4,20606:41,888,BBV,3,15,5
#120f_thermafuser/m134,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120F,"htg setpt",4,20606:41,245,BAV,3,15,4
#120f_thermafuser/m135,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120F,"clg setpt",4,20606:41,244,BAV,3,15,3
#120f_thermafuser/m186,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120F,"Zone Temp",4,20606:41,441,BAV,3,15,7
#120f_thermafuser/m190,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120F,"Supply Air",4,20606:41,1371,BAV,3,15,6
#120g_thermafuser/m073,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120G,"Air Flow Feedback",4,20606:41,1375,BAV,3,16,2
#120g_thermafuser/m078,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120G,"Room Occupied",4,20606:41,895,BBV,3,16,5
#120g_thermafuser/m134,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120G,"htg setpt",4,20606:41,251,BAV,3,16,4
#120g_thermafuser/m135,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120G,"clg setpt",4,20606:41,250,BAV,3,16,3
#120g_thermafuser/m186,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120G,"Zone Temp",4,20606:41,442,BAV,3,16,7
#120g_thermafuser/m190,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120G,"Supply Air",4,20606:41,1384,BAV,3,16,6
#120h1_thermafuser/m073,10.20.0.47,"Science & Engineering 2: 0206","First Floor","Short bar",Room-120H-1,"Air Flow Feedback",4,20606:41,1453,BAV,3,17,2
