Path,Server,Location,Branch,SubBranch,ControlProgram,Point,Zone,BacnetAddress,BacnetDevId,BacnetObjectType,PointType,ComponentId,PathMappingsId,Point ALC
#sav-b12-a/cl_stpt_tn,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Instrument 080F SAV-B12-A,Clg Stpt,1_2,20613:12,5,BAV,3,66,67,
#sav-b12-a/ht_pct_tn,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Instrument 080F SAV-B12-A,Htg%,1_2,20613:12,9,BAV,3,66,66,
#sav-b12-a/ht_stpt_tn,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Instrument 080F SAV-B12-A,Htg Stpt,1_2,20613:12,8,BAV,3,66,68,
#sav-b12-a/m277,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Instrument 080F SAV-B12-A,GEX Dmpr Pos,1_2,20613:12,3,BAV,3,66,56,
#sav-b12-a/m285,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Instrument 080F SAV-B12-A,Cool Requests,1_2,20613:12,4,BAV,3,66,57,
#sav-b12-a/m288,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Instrument 080F SAV-B12-A,Heat Requests,1_2,20613:12,7,BAV,3,66,58,
#sav-b12-a/m310,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Instrument 080F SAV-B12-A,SAV Dmpr Pos,1_2,20613:12,20,BAV,3,66,59,
#sav-b12-a/m318,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Instrument 080F SAV-B12-A,Exhaust Flow,1_2,20613:12,23,BAV,3,66,60,
#sav-b12-a/m320,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Instrument 080F SAV-B12-A,Supply Flow,1_2,20613:12,24,BAV,3,66,61,
#sav-b12-a/m322,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Instrument 080F SAV-B12-A,Flow Difference,1_2,20613:12,25,BAV,3,66,62,
#sav-b12-a/m328,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Instrument 080F SAV-B12-A,Exhaust Flow Stpt,1_2,20613:12,28,BAV,3,66,63,
#sav-b13-e_/cl_pct_tn,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Material Science 080 West SAV-B13-E,Clg%,1_2,20613:13,2,BAV,3,67,65,
#sav-b13-e_/cl_stpt_tn,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Material Science 080 West SAV-B13-E,Clg Stpt,1_2,20613:13,5,BAV,3,67,67,
#sav-b13-e_/ht_pct_tn,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Material Science 080 West SAV-B13-E,Htg%,1_2,20613:13,9,BAV,3,67,66,
#sav-b13-e_/ht_stpt_tn,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Material Science 080 West SAV-B13-E,Htg Stpt,1_2,20613:13,8,BAV,3,67,68,
#sav-b13-e_/m277,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Material Science 080 West SAV-B13-E,GEX Dmpr Pos,1_2,20613:13,3,BAV,3,67,56,
#sav-b13-e_/m285,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Material Science 080 West SAV-B13-E,Cool Requests,1_2,20613:13,4,BAV,3,67,57,
#sav-b13-e_/m288,10.20.0.47,Science & Engineering 2: 0206,Basement,Long Bar,Material Science 080 West SAV-B13-E,Heat Requests,1_2,20613:13,7,BAV,3,67,58,
